Name,Description,Release Date,Type,Cover Original,Track Number,Appears On,Top Songs,Spotify,Apple Music,YouTube,Genius,SongBPM
Do I Wanna Know? (triple j Like a Version),,,"Core Track, Cover",Arctic Monkeys,,Do I Wanna Know? (triple j Like a Version),,,,https://www.youtube.com/watch?v=CjwwmFrsX_E
Leave a Trace,,,Core Track,,2,Every Open Eye (Extended Edition)
Keep You on My Side,,,Core Track,,3,Every Open Eye (Extended Edition)
Make Them Gold,,,Core Track,,4,Every Open Eye (Extended Edition)
Clearest Blue,,,Core Track,,5,Every Open Eye (Extended Edition)
High Enough to Carry You Over,,,Core Track,,6,Every Open Eye (Extended Edition)
Empty Threat,,,Core Track,,7,Every Open Eye (Extended Edition)
Down Side of Me,,,Core Track,,8,Every Open Eye (Extended Edition)
Playing Dead,,,Core Track,,9,Every Open Eye (Extended Edition)
Bury It,,,Core Track,,10,Every Open Eye (Extended Edition)
Afterglow,,,Core Track,,11,Every Open Eye (Extended Edition)
Get Away,,,Core Track,,12,Every Open Eye (Extended Edition)
Follow You,,,Core Track,,13,Every Open Eye (Extended Edition)
Bow Down,,,Core Track,,14,Every Open Eye (Extended Edition)
Warning Call (Theme from Mirror’s Edge Catalyst),,,Core Track,,15,Every Open Eye (Extended Edition)
Bury It (feat. Hayley Williams),,,Core Track,,16,Every Open Eye (Extended Edition)
Leave a Trace (Four Tet remix),,,Core Track,,17,Every Open Eye (Extended Edition)
Empty Threat (Big Wild remix),,,Core Track,,18,Every Open Eye (Extended Edition)
Clearest Blue (Gryffin remix),,,Core Track,,19,Every Open Eye (Extended Edition)
Never Ending Circles,,,Core Track,,1,Every Open Eye (Special Edition)
Leave a Trace,,,Core Track,,2,Every Open Eye (Special Edition)
Keep You on My Side,,,Core Track,,3,Every Open Eye (Special Edition)
Make Them Gold,,,Core Track,,4,Every Open Eye (Special Edition)
Clearest Blue,,,Core Track,,5,Every Open Eye (Special Edition)
High Enough to Carry You Over,,,Core Track,,6,Every Open Eye (Special Edition)
Empty Threat,,,Core Track,,7,Every Open Eye (Special Edition)
Down Side of Me,,,Core Track,,8,Every Open Eye (Special Edition)
Playing Dead,,,Core Track,,9,Every Open Eye (Special Edition)
Bury It,,,Core Track,,10,Every Open Eye (Special Edition)
Afterglow,,,Core Track,,11,Every Open Eye (Special Edition)
Get Away,,,Core Track,,12,Every Open Eye (Special Edition)
Follow You,,,Core Track,,13,Every Open Eye (Special Edition)
Bow Down,,,Core Track,,14,Every Open Eye (Special Edition)
Never Ending Circles,,,Core Track,,1,Every Open Eye (Special Digipack Edition)
Leave a Trace,,,Core Track,,2,Every Open Eye (Special Digipack Edition)
Keep You on My Side,,,Core Track,,3,Every Open Eye (Special Digipack Edition)
Make Them Gold,,,Core Track,,4,Every Open Eye (Special Digipack Edition)
Clearest Blue,,,Core Track,,5,Every Open Eye (Special Digipack Edition)
High Enough to Carry You Over,,,Core Track,,6,Every Open Eye (Special Digipack Edition)
Empty Threat,,,Core Track,,7,Every Open Eye (Special Digipack Edition)
Down Side of Me,,,Core Track,,8,Every Open Eye (Special Digipack Edition)
Playing Dead,,,Core Track,,9,Every Open Eye (Special Digipack Edition)
Bury It,,,Core Track,,10,Every Open Eye (Special Digipack Edition)
Afterglow,,,Core Track,,11,Every Open Eye (Special Digipack Edition)
Up in Arms,,,Core Track,,12,Every Open Eye (Special Digipack Edition)
Get Away,,,Core Track,,13,Every Open Eye (Special Digipack Edition)
Follow You,,,Core Track,,14,Every Open Eye (Special Digipack Edition)
Bow Down,,,Core Track,,15,Every Open Eye (Special Digipack Edition)
The Mother We Share,,,Core Track,,1,The Bones Of What You Believe (Asia Deluxe Edition)
We Sink,,,Core Track,,2,The Bones Of What You Believe (Asia Deluxe Edition)
Gun,,,Core Track,,3,The Bones Of What You Believe (Asia Deluxe Edition)
Tether,,,Core Track,,4,The Bones Of What You Believe (Asia Deluxe Edition)
Lies,,,Core Track,,5,The Bones Of What You Believe (Asia Deluxe Edition)
Under the Tide,,,Core Track,,6,The Bones Of What You Believe (Asia Deluxe Edition)
Recover,,,Core Track,,7,The Bones Of What You Believe (Asia Deluxe Edition)
Night Sky,,,Core Track,,8,The Bones Of What You Believe (Asia Deluxe Edition)
Science/Visions,,,Core Track,,9,The Bones Of What You Believe (Asia Deluxe Edition)
Lungs,,,Core Track,,10,The Bones Of What You Believe (Asia Deluxe Edition)
By the Throat,,,Core Track,,11,The Bones Of What You Believe (Asia Deluxe Edition)
You Caught the Light,,,Core Track,,12,The Bones Of What You Believe (Asia Deluxe Edition)
Strong Hand,,,Core Track,,13,The Bones Of What You Believe (Asia Deluxe Edition)
Broken Bones,,,Core Track,,14,The Bones Of What You Believe (Asia Deluxe Edition)
ZVVL,,,Core Track,,15,The Bones Of What You Believe (Asia Deluxe Edition)
Now Is Not the Time,,,Core Track,,16,The Bones Of What You Believe (Asia Deluxe Edition)
Recover (Alucard Session),,,Core Track,,17,The Bones Of What You Believe (Asia Deluxe Edition)
The Mother We Share (Alucard Session),,,Core Track,,18,The Bones Of What You Believe (Asia Deluxe Edition)
Gun (Alucard Session),,,Core Track,,19,The Bones Of What You Believe (Asia Deluxe Edition)
Tightrope (Alucard session),,,"Core Track, Cover",Janelle Monáe,20,The Bones Of What You Believe (Asia Deluxe Edition)
Recover (Cid Rim Remix),,,"Core Track, Remix",,21,The Bones Of What You Believe (Asia Deluxe Edition)
It's Not Right But It's Okay,,,Core Track,,22,The Bones Of What You Believe (Asia Deluxe Edition)
Recover (Claire Remix),,,"Core Track, Remix",,23,The Bones Of What You Believe (Asia Deluxe Edition)
Lies (Tourist Remix),,,"Core Track, Remix",,24,The Bones Of What You Believe (Asia Deluxe Edition)
Recover (Kingdom Remix),,,"Core Track, Remix",,25,The Bones Of What You Believe (Asia Deluxe Edition)
Tether (Junior Sanchez Remix),,,"Core Track, Remix",,26,The Bones Of What You Believe (Asia Deluxe Edition)
Gun (KDA Remix),,,"Core Track, Remix",,27,The Bones Of What You Believe (Asia Deluxe Edition)
The Mother We Share (Blood Diamonds Remix),,,"Core Track, Remix",,28,The Bones Of What You Believe (Asia Deluxe Edition)
Recover (KDA Remix),,,"Core Track, Remix",,29,The Bones Of What You Believe (Asia Deluxe Edition)
Under The Tide (Remix),,,"Core Track, Remix",,30,The Bones Of What You Believe (Asia Deluxe Edition)
The Mother We Share,,,Core Track,,1,The Bones Of What You Believe (Deluxe Edition)
We Sink,,,Core Track,,2,The Bones Of What You Believe (Deluxe Edition)
